City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
117,Wundanyi,KE,2022-12-09 20:45:16,-3.4019,38.364,62.04,90,99,1.83
118,Rio Grande,BR,2022-12-09 20:45:17,-32.035,-52.0986,91.51,70,0,13.96
119,Tarrega,ES,2022-12-09 20:45:17,41.647,1.1396,52.14,86,100,3.15
120,Samoylovka,RU,2022-12-09 20:45:18,51.184,43.7081,23.81,78,97,18.23
121,Coquimbo,CL,2022-12-09 20:45:18,-29.9533,-71.3436,69.53,68,0,16.11
122,Chancay,PE,2022-12-09 20:45:18,-11.5714,-77.2672,69.67,75,78,8.16
123,Forbesganj,IN,2022-12-09 20:45:19,26.3,87.25,62.24,66,4,3.42
124,Libourne,FR,2022-12-09 20:45:20,44.9167,-0.25,36.57,78,88,9.35
125,Eskisehir,TR,2022-12-09 20:44:54,39.7767,30.5206,44.47,100,0,4.61
126,Oskemen,KZ,2022-12-09 20:45:20,49.9565,82.6119,15.76,85,100,6.71
127,Maragogi,BR,2022-12-09 20:45:21,-9.0122,-35.2225,79.23,79,12,13.11
128,Vincennes,FR,2022-12-09 20:45:22,48.85,2.4333,35.89,90,100,9.22
129,Poltava,UA,2022-12-09 20:45:22,49.5937,34.5407,41.43,99,100,9.75
130,Taoudenni,ML,2022-12-09 20:45:22,22.6783,-3.9836,80.44,13,38,7.78
131,El Carmen,CO,2022-12-09 20:45:23,8.5106,-73.4478,77.07,62,67,2.24
132,Domoni,KM,2022-12-09 20:45:23,-12.2569,44.5319,78.76,80,0,3.8
133,Vestmannaeyjar,IS,2022-12-09 20:45:24,63.4427,-20.2734,35.06,57,0,8.12
134,Rudbar,AF,2022-12-09 20:45:25,30.15,62.6,46.04,46,38,7.0
135,Muros,ES,2022-12-09 20:45:25,42.7762,-9.0603,53.1,78,75,16.42
136,Iquitos,PE,2022-12-09 20:44:59,-3.7481,-73.2472,86.04,74,75,8.05
137,Clarence Town,AU,2022-12-09 20:46:26,-32.5833,151.7833,63.99,65,100,1.05
138,Crotone,IT,2022-12-09 20:46:26,39.0851,17.1178,65.19,90,100,16.93
139,Lysa Hora,UA,2022-12-09 20:46:27,48.1706,31.1099,39.29,92,66,6.49
140,Moissala,TD,2022-12-09 20:46:27,8.3404,17.7663,76.21,21,69,5.17
141,Aranos,NA,2022-12-09 20:46:28,-24.1333,19.1167,79.18,32,97,12.5
142,Gouyave,GD,2022-12-09 20:46:28,12.1646,-61.7296,83.17,61,20,0.0
143,Cabedelo,BR,2022-12-09 20:44:44,-6.9811,-34.8339,83.07,74,13,9.82
144,Kavaratti,IN,2022-12-09 20:46:29,10.5669,72.642,81.41,68,100,13.76
