City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
221,Seminole,US,28.7086,-81.2081,70.36,89,100,9.22,overcast clouds
222,Vardo,NO,70.3705,31.1107,30.18,93,100,27.63,snow
223,Disna,BY,55.568,28.1971,24.64,88,66,10.22,broken clouds
224,Alushta,UA,44.6667,34.4167,39.31,61,100,10.74,overcast clouds
225,Hun,LY,29.1268,15.9477,65.48,38,22,4.16,few clouds
226,Buchanan,LR,5.8808,-10.0467,78.78,83,8,6.2,light rain
227,Carnarvon,AU,-24.8667,113.6333,70.43,82,0,13.27,clear sky
228,Kargopol,RU,61.5071,38.9456,27.05,87,100,9.4,overcast clouds
229,Upernavik,GL,72.7868,-56.1549,21.27,90,100,20.67,light snow
230,Ibipeba,BR,-11.6408,-42.0111,76.1,61,84,4.61,broken clouds
231,Shelburne,CA,44.0787,-80.2041,27.39,75,7,3.71,clear sky
232,San Cristobal,VE,7.7669,-72.225,77.18,70,57,3.31,broken clouds
233,Roald,NO,62.5833,6.1333,28.76,68,75,16.11,snow
234,Channel-Port Aux Basques,CA,47.5702,-59.1367,38.3,95,100,46.68,overcast clouds
235,Kedrovyy,RU,56.1667,91.8167,-16.19,100,87,1.14,overcast clouds
236,Beloha,MG,-25.1667,45.05,72.63,82,92,6.64,overcast clouds
237,Funtua,NG,11.5233,7.3081,64.67,19,7,8.81,clear sky
238,Morondava,MG,-20.2833,44.2833,74.75,87,100,11.07,light rain
239,Bousso,TD,10.4795,16.7117,74.97,17,29,6.53,scattered clouds
240,Novyy Urengoy,RU,66.0833,76.6333,-10.25,90,99,10.22,overcast clouds
241,Westport,US,41.1415,-73.3579,39.24,50,0,4.0,clear sky
242,Lokosovo,RU,61.1333,74.8167,-18.65,97,64,3.29,broken clouds
243,Mubi,NG,10.2676,13.2644,70.25,24,10,1.86,clear sky
244,Porto Walter,BR,-8.2686,-72.7439,87.71,51,98,3.22,overcast clouds
245,Kayerkan,RU,69.3497,87.7602,-17.48,75,100,6.64,overcast clouds
246,Hanstholm,DK,57.1167,8.6167,38.8,64,97,20.98,light rain
247,Gumdag,TM,39.2061,54.5906,40.15,64,90,14.88,overcast clouds
248,Goshen,US,41.5823,-85.8344,36.73,79,100,12.59,overcast clouds
249,Rundu,NA,-17.9333,19.7667,70.34,72,52,2.75,light rain
250,Salto,UY,-31.3833,-57.9667,86.16,38,0,1.14,clear sky
251,Nara,JP,34.6851,135.8049,49.32,69,95,17.87,overcast clouds
252,Hualmay,PE,-11.0964,-77.6139,72.1,71,56,3.94,broken clouds
253,Aleksandrov Gay,RU,50.147,48.5704,20.7,60,0,12.71,clear sky
254,Ormara,PK,25.2088,64.6357,73.45,53,0,6.06,clear sky
255,Gayeri,BF,12.6497,0.4931,74.7,13,3,8.63,clear sky
256,Munchberg,DE,50.2,11.7833,20.12,89,100,7.0,overcast clouds
257,Mabaruma,GY,8.2,-59.7833,80.6,83,75,4.61,light rain
258,Vieux-Habitants,GP,16.0589,-61.7659,78.71,73,14,9.19,few clouds
259,Luis Correia,BR,-2.8792,-41.6669,84.2,79,40,13.8,scattered clouds
260,Le Vauclin,MQ,14.5452,-60.8388,80.65,74,75,12.66,broken clouds
261,Vieques,PR,18.425,-65.8329,80.62,61,75,4.61,broken clouds
262,Ostrovnoy,RU,68.0531,39.5131,18.75,88,100,12.66,overcast clouds
263,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,95.72,10,0,8.52,clear sky
264,Coquimbo,CL,-29.9533,-71.3436,67.73,72,0,11.5,clear sky
265,Guarda,PT,40.5373,-7.2658,50.23,94,56,6.11,broken clouds
266,Denizli,TR,37.8402,29.0698,55.9,95,100,0.25,light rain
267,Asuncion,PY,-25.3007,-57.6359,89.04,31,0,14.97,clear sky
